Eps    1: ENVT  101: ENVR   -204.9 :EC  0:TS  101: R   -278.0 :eps 1.000:Act ((Robot(R1): Node(25)->Node(57)),(Robot(R2): Node(24)->Node(56)),(Robot(R3): Node(32)->Node(62)),(Robot(R4): Node(21)->Node(53)),(Robot(R5): Node(69)->Node(9)),(Robot(R6): Node(10)->Node(44)),(Robot(R7): Node(105)->Node(65)),(Robot(R8): Node(76)->Node(10)),(Robot(R9): Node(41)->Node(6))) 
Eps   71: ENVT  101: ENVR   -364.4 :EC  0:TS  101: R   -375.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(76)->Node(10)),(Robot(R9): Node(96)->Node(36))) 
Eps   72: ENVT  101: ENVR   -364.4 :EC  0:TS  101: R   -320.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   73: ENVT  101: ENVR   -364.4 :EC  0:TS  101: R   -422.5 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(83)->Node(23)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   74: ENVT  101: ENVR   -364.4 :EC  0:TS  101: R   -334.5 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(65)->Node(34)),(Robot(R3): Node(62)->Node(102)),(None: None->None),(Robot(R5): Node(95)->Node(35)),(None: None->None),(None: None->None),(Robot(R8): Node(105)->Node(65)),(None: None->None)) 
Eps   75: ENVT  101: ENVR   -352.1 :EC  0:TS  101: R   -321.4 :eps 0.000:Act ((Robot(R1): Node(61)->Node(30)),(None: None->None),(None: None->None),(Robot(R4): Node(65)->Node(34)),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(7)->Node(41)),(Robot(R9): Node(33)->Node(63))) 
Eps   76: ENVT  101: ENVR   -352.1 :EC  0:TS  101: R   -366.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   77: ENVT  101: ENVR   -352.1 :EC  0:TS  101: R   -430.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   78: ENVT  101: ENVR   -352.1 :EC  0:TS  101: R   -320.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   79: ENVT  101: ENVR   -352.1 :EC  0:TS  101: R   -447.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   80: ENVT  101: ENVR   -196.6 :EC  0:TS  101: R   -347.4 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(63)->Node(32)),(Robot(R3): Node(101)->Node(61)),(None: None->None),(Robot(R5): Node(103)->Node(63)),(Robot(R6): Node(57)->Node(26)),(None: None->None),(Robot(R8): Node(60)->Node(29)),(Robot(R9): Node(30)->Node(90))) 
Eps   81: ENVT  101: ENVR   -196.6 :EC  0:TS  101: R   -286.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   82: ENVT  101: ENVR   -196.6 :EC  0:TS  101: R   -295.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
