Eps    1: ENVT  101: ENVR   -204.9 :EC  0:TS  101: R   -278.0 :eps 1.000:Act ((Robot(R1): Node(25)->Node(57)),(Robot(R2): Node(24)->Node(56)),(Robot(R3): Node(32)->Node(62)),(Robot(R4): Node(21)->Node(53)),(Robot(R5): Node(69)->Node(9)),(Robot(R6): Node(10)->Node(44)),(Robot(R7): Node(105)->Node(65)),(Robot(R8): Node(76)->Node(10)),(Robot(R9): Node(41)->Node(6))) 
Eps 2777: ENVT  101: ENVR   -407.9 :EC  0:TS  101: R   -346.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(25)->Node(57)),(Robot(R8): Node(3)->Node(69)),(None: None->None)) 
Eps 2778: ENVT  101: ENVR   -407.9 :EC  0:TS  101: R   -293.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(1)->Node(37)),(None: None->None),(Robot(R6): Node(39)->Node(4)),(None: None->None),(Robot(R8): Node(99)->Node(39)),(None: None->None)) 
Eps 2779: ENVT  101: ENVR   -407.9 :EC  0:TS  101: R   -332.3 :eps 0.000:Act ((Robot(R1): Node(78)->Node(12)),(None: None->None),(None: None->None),(Robot(R4): Node(85)->Node(25)),(None: None->None),(None: None->None),(Robot(R7): Node(18)->Node(78)),(None: None->None),(Robot(R9): Node(12)->Node(46))) 
Eps 2780: ENVT  101: ENVR   -196.5 :EC  0:TS  101: R   -221.3 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(96)->Node(36)),(Robot(R3): Node(73)->Node(13)),(Robot(R4): Node(50)->Node(17)),(None: None->None),(None: None->None),(Robot(R7): Node(83)->Node(23)),(None: None->None),(Robot(R9): Node(55)->Node(22))) 
Eps 2781: ENVT  101: ENVR   -196.5 :EC  0:TS  101: R   -324.2 :eps 0.000:Act ((Robot(R1): Node(64)->Node(104)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2782: ENVT  101: ENVR   -196.5 :EC  0:TS  101: R   -300.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(25)->Node(57))) 
Eps 2783: ENVT  101: ENVR   -196.5 :EC  0:TS  101: R   -396.6 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(21)->Node(53)),(None: None->None),(None: None->None),(Robot(R6): Node(22)->Node(54)),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2784: ENVT  101: ENVR   -196.5 :EC  0:TS  101: R   -349.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2785: ENVT  101: ENVR   -402.3 :EC  0:TS  101: R   -387.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2786: ENVT  101: ENVR   -402.3 :EC  0:TS  101: R   -380.3 :eps 0.000:Act ((Robot(R1): Node(45)->Node(10)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(9)->Node(75)),(None: None->None),(None: None->None)) 
Eps 2787: ENVT  101: ENVR   -402.3 :EC  0:TS  101: R   -333.3 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(66)->Node(0)),(Robot(R3): Node(104)->Node(64)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2788: ENVT  101: ENVR   -402.3 :EC  0:TS  101: R   -371.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2789: ENVT  101: ENVR   -402.3 :EC  0:TS  101: R   -258.1 :eps 0.000:Act ((Robot(R1): Node(11)->Node(45)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(66)->Node(0)),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2790: ENVT  101: ENVR   -316.1 :EC  0:TS  101: R   -259.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(64)->Node(104)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(34)->Node(94))) 
Eps 2791: ENVT  101: ENVR   -316.1 :EC  0:TS  101: R   -302.4 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(16)->Node(50)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2792: ENVT  101: ENVR   -316.1 :EC  0:TS  101: R   -401.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(64)->Node(104)),(None: None->None),(Robot(R7): Node(104)->Node(64)),(None: None->None),(None: None->None)) 
Eps 2793: ENVT  101: ENVR   -316.1 :EC  0:TS  101: R   -309.6 :eps 0.000:Act ((Robot(R1): Node(88)->Node(22)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2794: ENVT  101: ENVR   -316.1 :EC  0:TS  101: R   -358.1 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(36)->Node(1)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2795: ENVT  101: ENVR   -432.3 :EC  0:TS  101: R   -433.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(95)->Node(35))) 
Eps 2796: ENVT  101: ENVR   -432.3 :EC  0:TS  101: R   -347.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(9)->Node(43)),(None: None->None)) 
Eps 2797: ENVT  101: ENVR   -432.3 :EC  0:TS  101: R   -321.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2798: ENVT  101: ENVR   -432.3 :EC  0:TS  101: R   -394.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(16)->Node(76)),(None: None->None),(None: None->None),(Robot(R8): Node(33)->Node(63)),(None: None->None)) 
Eps 2799: ENVT  101: ENVR   -432.3 :EC  0:TS  101: R   -366.3 :eps 0.000:Act ((Robot(R1): Node(104)->Node(64)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2800: ENVT  101: ENVR   -386.5 :EC  0:TS  101: R   -379.2 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(19)->Node(85)),(None: None->None),(Robot(R5): Node(40)->Node(5)),(None: None->None),(None: None->None),(Robot(R8): Node(13)->Node(79)),(Robot(R9): Node(3)->Node(39))) 
Eps 2801: ENVT  101: ENVR   -386.5 :EC  0:TS  101: R   -311.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(11)->Node(77))) 
Eps 2802: ENVT  101: ENVR   -386.5 :EC  0:TS  101: R   -139.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(34)->Node(64)),(None: None->None)) 
Eps 2803: ENVT  101: ENVR   -386.5 :EC  0:TS  101: R   -377.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2804: ENVT  101: ENVR   -386.5 :EC  0:TS  101: R   -439.3 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(64)->Node(33)),(Robot(R4): Node(104)->Node(64)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2805: ENVT  101: ENVR   -274.9 :EC  0:TS  101: R   -237.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(9)->Node(75)),(Robot(R5): Node(20)->Node(52)),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2806: ENVT  101: ENVR   -274.9 :EC  0:TS  101: R   -271.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(74)->Node(8)),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2807: ENVT  101: ENVR   -274.9 :EC  0:TS  101: R   -182.1 :eps 0.000:Act ((Robot(R1): Node(97)->Node(37)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2808: ENVT  101: ENVR   -274.9 :EC  0:TS  101: R   -278.8 :eps 0.000:Act ((Robot(R1): Node(38)->Node(3)),(Robot(R2): Node(78)->Node(12)),(Robot(R3): Node(58)->Node(27)),(Robot(R4): Node(51)->Node(18)),(None: None->None),(Robot(R6): Node(41)->Node(6)),(None: None->None),(Robot(R8): Node(53)->Node(20)),(Robot(R9): Node(22)->Node(54))) 
Eps 2809: ENVT  101: ENVR   -274.9 :EC  0:TS  101: R   -289.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2810: ENVT  101: ENVR   -265.2 :EC  0:TS  101: R   -304.7 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(4)->Node(40)),(Robot(R3): Node(13)->Node(47)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(98)->Node(38)),(None: None->None)) 
Eps 2811: ENVT  101: ENVR   -265.2 :EC  0:TS  101: R   -249.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(65)->Node(34)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(22)->Node(54))) 
Eps 2812: ENVT  101: ENVR   -265.2 :EC  0:TS  101: R   -180.5 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(9)->Node(75)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2813: ENVT  101: ENVR   -265.2 :EC  0:TS  101: R   -279.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(21)->Node(87)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(104)->Node(64))) 
Eps 2814: ENVT  101: ENVR   -265.2 :EC  0:TS  101: R   -346.6 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(46)->Node(13)),(None: None->None),(None: None->None),(Robot(R6): Node(70)->Node(4)),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2815: ENVT  101: ENVR   -259.2 :EC  0:TS  101: R   -153.4 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(94)->Node(28)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(104)->Node(64)),(None: None->None)) 
Eps 2816: ENVT  101: ENVR   -259.2 :EC  0:TS  101: R    -17.5 :eps 0.000:Act ((Robot(R1): Node(79)->Node(19)),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(65)->Node(34)),(None: None->None),(None: None->None),(Robot(R8): Node(86)->Node(20)),(None: None->None)) 
Eps 2817: ENVT  101: ENVR   -259.2 :EC  0:TS  101: R   -162.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(52)->Node(19)),(None: None->None),(Robot(R7): Node(46)->Node(13)),(None: None->None),(Robot(R9): Node(73)->Node(13))) 
Eps 2818: ENVT  101: ENVR   -259.2 :EC  0:TS  101: R   -326.0 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(14)->Node(48)),(Robot(R3): Node(4)->Node(40)),(Robot(R4): Node(16)->Node(76)),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(47)->Node(14)),(None: None->None)) 
Eps 2819: ENVT  101: ENVR   -259.2 :EC  0:TS  101: R   -322.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(22)->Node(54)),(Robot(R6): Node(46)->Node(13)),(Robot(R7): Node(19)->Node(51)),(None: None->None),(None: None->None)) 
Eps 2820: ENVT  101: ENVR   -218.2 :EC  0:TS  101: R   -150.5 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(13)->Node(79)),(None: None->None),(Robot(R4): Node(99)->Node(39)),(None: None->None),(None: None->None),(Robot(R7): Node(82)->Node(16)),(None: None->None),(Robot(R9): Node(39)->Node(99))) 
Eps 2821: ENVT  101: ENVR   -218.2 :EC  0:TS  101: R   -169.1 :eps 0.000:Act ((Robot(R1): Node(6)->Node(66)),(None: None->None),(None: None->None),(Robot(R4): Node(0)->Node(36)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(1)->Node(67))) 
Eps 2822: ENVT  101: ENVR   -218.2 :EC  0:TS  101: R   -230.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2823: ENVT  101: ENVR   -218.2 :EC  0:TS  101: R   -268.2 :eps 0.000:Act ((Robot(R1): Node(8)->Node(42)),(Robot(R2): Node(37)->Node(97)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2824: ENVT  101: ENVR   -218.2 :EC  0:TS  101: R   -128.8 :eps 0.000:Act ((Robot(R1): Node(52)->Node(19)),(None: None->None),(None: None->None),(Robot(R4): Node(9)->Node(43)),(None: None->None),(None: None->None),(Robot(R7): Node(86)->Node(20)),(Robot(R8): Node(78)->Node(12)),(None: None->None)) 
Eps 2825: ENVT  101: ENVR   -327.7 :EC  0:TS  101: R   -289.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(70)->Node(4))) 
Eps 2826: ENVT  101: ENVR   -327.7 :EC  0:TS  101: R   -373.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(13)->Node(47)),(Robot(R6): Node(46)->Node(13)),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2827: ENVT  101: ENVR   -327.7 :EC  0:TS  101: R   -198.1 :eps 0.000:Act ((Robot(R1): Node(39)->Node(4)),(Robot(R2): Node(14)->Node(48)),(None: None->None),(Robot(R4): Node(92)->Node(26)),(Robot(R5): Node(70)->Node(4)),(Robot(R6): Node(69)->Node(9)),(None: None->None),(None: None->None),(Robot(R9): Node(25)->Node(57))) 
Eps 2828: ENVT  101: ENVR   -327.7 :EC  0:TS  101: R   -325.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(73)->Node(13)),(Robot(R8): Node(13)->Node(79)),(Robot(R9): Node(46)->Node(13))) 
Eps 2829: ENVT  101: ENVR   -327.7 :EC  0:TS  101: R   -364.4 :eps 0.000:Act ((Robot(R1): Node(70)->Node(4)),(None: None->None),(None: None->None),(Robot(R4): Node(91)->Node(31)),(None: None->None),(None: None->None),(Robot(R7): Node(86)->Node(20)),(None: None->None),(Robot(R9): Node(44)->Node(9))) 
Eps 2830: ENVT  101: ENVR   -154.3 :EC  0:TS  101: R   -218.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(32)->Node(62)),(None: None->None),(Robot(R7): Node(95)->Node(35)),(None: None->None),(Robot(R9): Node(39)->Node(99))) 
Eps 2831: ENVT  101: ENVR   -154.3 :EC  0:TS  101: R   -192.1 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(104)->Node(64)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2832: ENVT  101: ENVR   -154.3 :EC  0:TS  101: R   -400.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(9)->Node(43)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2833: ENVT  101: ENVR   -154.3 :EC  0:TS  101: R   -268.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(56)->Node(25)),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2834: ENVT  101: ENVR   -154.3 :EC  0:TS  101: R    -99.9 :eps 0.000:Act ((Robot(R1): Node(30)->Node(90)),(Robot(R2): Node(2)->Node(38)),(Robot(R3): Node(5)->Node(71)),(None: None->None),(Robot(R5): Node(13)->Node(79)),(Robot(R6): Node(14)->Node(48)),(None: None->None),(None: None->None),(Robot(R9): Node(104)->Node(64))) 
Eps 2835: ENVT  101: ENVR   -232.2 :EC  0:TS  101: R   -218.4 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(36)->Node(96)),(Robot(R3): Node(58)->Node(27)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2836: ENVT  101: ENVR   -232.2 :EC  0:TS  101: R   -207.2 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(19)->Node(51)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(46)->Node(13))) 
Eps 2837: ENVT  101: ENVR   -232.2 :EC  0:TS  101: R   -350.1 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(103)->Node(63)),(None: None->None),(Robot(R4): Node(24)->Node(56)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2838: ENVT  101: ENVR   -232.2 :EC  0:TS  101: R   -249.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(21)->Node(87)),(None: None->None),(None: None->None),(Robot(R9): Node(91)->Node(31))) 
Eps 2839: ENVT  101: ENVR   -232.2 :EC  0:TS  101: R    -63.9 :eps 0.000:Act ((Robot(R1): Node(43)->Node(8)),(None: None->None),(Robot(R3): Node(23)->Node(55)),(None: None->None),(Robot(R5): Node(40)->Node(5)),(Robot(R6): Node(78)->Node(12)),(Robot(R7): Node(39)->Node(4)),(Robot(R8): Node(25)->Node(57)),(Robot(R9): Node(35)->Node(65))) 
Eps 2840: ENVT  101: ENVR   -241.8 :EC  0:TS  101: R   -257.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(8)->Node(68)),(Robot(R5): Node(21)->Node(53)),(Robot(R6): Node(33)->Node(63)),(None: None->None),(None: None->None),(Robot(R9): Node(24)->Node(56))) 
Eps 2841: ENVT  101: ENVR   -241.8 :EC  0:TS  101: R   -308.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(14)->Node(74)),(Robot(R8): Node(97)->Node(37)),(None: None->None)) 
Eps 2842: ENVT  101: ENVR   -241.8 :EC  0:TS  101: R   -405.2 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(40)->Node(5)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2843: ENVT  101: ENVR   -241.8 :EC  0:TS  101: R   -274.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(71)->Node(11)),(None: None->None),(None: None->None),(Robot(R7): Node(35)->Node(65)),(Robot(R8): Node(14)->Node(48)),(None: None->None)) 
Eps 2844: ENVT  101: ENVR   -241.8 :EC  0:TS  101: R   -135.2 :eps 0.000:Act ((Robot(R1): Node(15)->Node(81)),(None: None->None),(Robot(R3): Node(102)->Node(62)),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(61)->Node(30)),(None: None->None),(Robot(R9): Node(62)->Node(31))) 
Eps 2845: ENVT  101: ENVR   -247.3 :EC  0:TS  101: R   -305.3 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(44)->Node(9)),(None: None->None),(Robot(R5): Node(9)->Node(75)),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(12)->Node(72))) 
Eps 2846: ENVT  101: ENVR   -247.3 :EC  0:TS  101: R   -366.1 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(93)->Node(33)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2847: ENVT  101: ENVR   -247.3 :EC  0:TS  101: R   -261.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(42)->Node(7)),(None: None->None),(Robot(R9): Node(14)->Node(48))) 
Eps 2848: ENVT  101: ENVR   -247.3 :EC  0:TS  101: R   -369.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2849: ENVT  101: ENVR   -247.3 :EC  0:TS  101: R   -187.2 :eps 0.000:Act ((Robot(R1): Node(97)->Node(37)),(Robot(R2): Node(26)->Node(58)),(None: None->None),(Robot(R4): Node(91)->Node(31)),(Robot(R5): Node(31)->Node(61)),(None: None->None),(None: None->None),(Robot(R8): Node(17)->Node(83)),(Robot(R9): Node(3)->Node(69))) 
Eps 2850: ENVT  101: ENVR   -317.7 :EC  0:TS  101: R   -335.0 :eps 0.000:Act ((Robot(R1): Node(30)->Node(90)),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(63)->Node(103)),(Robot(R6): Node(100)->Node(40)),(None: None->None),(Robot(R8): Node(99)->Node(39)),(None: None->None)) 
Eps 2851: ENVT  101: ENVR   -317.7 :EC  0:TS  101: R   -338.5 :eps 0.000:Act ((Robot(R1): Node(37)->Node(97)),(Robot(R2): Node(9)->Node(75)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2852: ENVT  101: ENVR   -317.7 :EC  0:TS  101: R   -299.8 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(4)->Node(40)),(Robot(R3): Node(17)->Node(83)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(77)->Node(17)),(None: None->None)) 
Eps 2853: ENVT  101: ENVR   -317.7 :EC  0:TS  101: R   -326.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(73)->Node(13)),(Robot(R8): Node(37)->Node(97)),(None: None->None)) 
Eps 2854: ENVT  101: ENVR   -317.7 :EC  0:TS  101: R   -258.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(83)->Node(23)),(None: None->None),(Robot(R9): Node(37)->Node(97))) 
Eps 2855: ENVT  101: ENVR   -287.7 :EC  0:TS  101: R   -329.0 :eps 0.000:Act ((Robot(R1): Node(80)->Node(14)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(84)->Node(18)),(None: None->None)) 
Eps 2856: ENVT  101: ENVR   -287.7 :EC  0:TS  101: R   -236.6 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(95)->Node(35)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(29)->Node(95)),(None: None->None)) 
Eps 2857: ENVT  101: ENVR   -287.7 :EC  0:TS  101: R   -297.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(21)->Node(87)),(None: None->None),(Robot(R8): Node(13)->Node(79)),(None: None->None)) 
Eps 2858: ENVT  101: ENVR   -287.7 :EC  0:TS  101: R   -324.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2859: ENVT  101: ENVR   -287.7 :EC  0:TS  101: R   -307.5 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(104)->Node(64)),(None: None->None),(Robot(R5): Node(90)->Node(24)),(Robot(R6): Node(55)->Node(22)),(Robot(R7): Node(9)->Node(75)),(None: None->None),(None: None->None)) 
Eps 2860: ENVT  101: ENVR   -257.9 :EC  0:TS  101: R   -332.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(73)->Node(13)),(None: None->None)) 
Eps 2861: ENVT  101: ENVR   -257.9 :EC  0:TS  101: R   -372.8 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(26)->Node(86)),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(57)->Node(26)),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2862: ENVT  101: ENVR   -257.9 :EC  0:TS  101: R   -205.8 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(44)->Node(9)),(Robot(R4): Node(56)->Node(25)),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(91)->Node(31)),(Robot(R9): Node(42)->Node(7))) 
Eps 2863: ENVT  101: ENVR   -257.9 :EC  0:TS  101: R   -193.5 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(30)->Node(90)),(None: None->None),(None: None->None),(Robot(R6): Node(25)->Node(91)),(None: None->None),(Robot(R8): Node(31)->Node(61)),(None: None->None)) 
Eps 2864: ENVT  101: ENVR   -257.9 :EC  0:TS  101: R   -303.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(70)->Node(4)),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(62)->Node(102))) 
Eps 2865: ENVT  101: ENVR   -354.7 :EC  0:TS  101: R   -342.1 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(57)->Node(26)),(None: None->None),(None: None->None),(Robot(R6): Node(26)->Node(58)),(None: None->None),(None: None->None),(Robot(R9): Node(21)->Node(87))) 
Eps 2866: ENVT  101: ENVR   -354.7 :EC  0:TS  101: R   -299.3 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(11)->Node(45)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps 2867: ENVT  101: ENVR   -354.7 :EC  0:TS  101: R   -438.4 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(76)->Node(10)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(44)->Node(9)),(None: None->None),(Robot(R9): Node(73)->Node(13))) 
Eps 2868: ENVT  101: ENVR   -354.7 :EC  0:TS  101: R   -261.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(88)->Node(22)),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(15)->Node(49)),(Robot(R9): Node(22)->Node(82))) 
Eps 2869: ENVT  101: ENVR   -354.7 :EC  0:TS  101: R   -466.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
